41.cubes1169.adj, verified, 0 solutions, 190.347  seconds 
41.cubes117.adj, verified, 0 solutions, 28.9521  seconds 
41.cubes1170.adj, verified, 0 solutions, 254.218  seconds 
41.cubes1171.adj, verified, 0 solutions, 559.453  seconds 
41.cubes1172.adj, verified, 0 solutions, 550.424  seconds 
41.cubes1173.adj, verified, 0 solutions, 565.794  seconds 
41.cubes1174.adj, verified, 0 solutions, 238.969  seconds 
41.cubes1175.adj, verified, 0 solutions, 5.73375  seconds 
41.cubes1176.adj, verified, 0 solutions, 514.25  seconds 
41.cubes1177.adj, verified, 0 solutions, 485.079  seconds 
41.cubes1178.adj, verified, 0 solutions, 472.54  seconds 
41.cubes1179.adj, verified, 0 solutions, 525.138  seconds 
41.cubes118.adj, verified, 0 solutions, 30.4996  seconds 
41.cubes1180.adj, verified, 0 solutions, 2.53041  seconds 
41.cubes1181.adj, verified, 0 solutions, 976.521  seconds 
41.cubes1182.adj, verified, 0 solutions, 340.081  seconds 
41.cubes1183.adj, verified, 0 solutions, 365.255  seconds 
41.cubes1184.adj, verified, 0 solutions, 29.4507  seconds 
41.cubes1185.adj, verified, 0 solutions, 135.371  seconds 
41.cubes1186.adj, verified, 0 solutions, 357.848  seconds 
41.cubes1187.adj, verified, 0 solutions, 217.293  seconds 
41.cubes1188.adj, verified, 0 solutions, 257.815  seconds 
41.cubes1189.adj, verified, 0 solutions, 510.482  seconds 
41.cubes119.adj, verified, 0 solutions, 34.1195  seconds 
41.cubes1190.adj, verified, 0 solutions, 53.4365  seconds 
41.cubes1191.adj, verified, 0 solutions, 23.1655  seconds 
41.cubes1192.adj, verified, 0 solutions, 436.987  seconds 
41.cubes1193.adj, verified, 0 solutions, 336.997  seconds 
41.cubes1194.adj, verified, 0 solutions, 394.405  seconds 
41.cubes1195.adj, verified, 0 solutions, 370.309  seconds 
41.cubes1196.adj, verified, 0 solutions, 265.289  seconds 
41.cubes1197.adj, verified, 0 solutions, 724.64  seconds 
41.cubes1198.adj, verified, 0 solutions, 732.598  seconds 
41.cubes1199.adj, verified, 0 solutions, 50.7328  seconds 
41.cubes12.adj, verified, 0 solutions, 25.1878  seconds 
41.cubes120.adj, verified, 0 solutions, 37.2802  seconds 
41.cubes1200.adj, verified, 0 solutions, 264.38  seconds 
41.cubes1201.adj, verified, 0 solutions, 1151.01  seconds 
41.cubes1202.adj, verified, 0 solutions, 216.772  seconds 
41.cubes1203.adj, verified, 0 solutions, 1192.64  seconds 
41.cubes1204.adj, verified, 0 solutions, 66.5509  seconds 
41.cubes1205.adj, verified, 0 solutions, 891.96  seconds 
41.cubes1206.adj, verified, 0 solutions, 1169.99  seconds 
41.cubes1207.adj, verified, 0 solutions, 485.516  seconds 
41.cubes1208.adj, verified, 0 solutions, 787.49  seconds 
41.cubes1209.adj, verified, 0 solutions, 638.602  seconds 
41.cubes121.adj, verified, 0 solutions, 52.4188  seconds 
41.cubes1210.adj, verified, 0 solutions, 1351.89  seconds 
41.cubes1211.adj, verified, 0 solutions, 575.192  seconds 
41.cubes1212.adj, verified, 0 solutions, 178.814  seconds 
41.cubes1213.adj, verified, 0 solutions, 593.597  seconds 
41.cubes1214.adj, verified, 0 solutions, 532.47  seconds 
41.cubes1215.adj, verified, 0 solutions, 8.06719  seconds 
41.cubes1216.adj, verified, 0 solutions, 485.512  seconds 
41.cubes1217.adj, verified, 0 solutions, 568.558  seconds 
41.cubes1218.adj, verified, 0 solutions, 413.55  seconds 
41.cubes1219.adj, verified, 0 solutions, 417.768  seconds 
41.cubes122.adj, verified, 0 solutions, 42.8677  seconds 
41.cubes1220.adj, verified, 0 solutions, 14.6247  seconds 
41.cubes1221.adj, verified, 0 solutions, 545.236  seconds 
41.cubes1222.adj, verified, 0 solutions, 1000.86  seconds 
41.cubes1223.adj, verified, 0 solutions, 693.23  seconds 
41.cubes1224.adj, verified, 0 solutions, 1141.45  seconds 
41.cubes1225.adj, verified, 0 solutions, 1041.72  seconds 
41.cubes1226.adj, verified, 0 solutions, 1481.12  seconds 
41.cubes1227.adj, verified, 0 solutions, 2206.54  seconds 
41.cubes1228.adj, verified, 0 solutions, 265.608  seconds 
41.cubes1229.adj, verified, 0 solutions, 352.59  seconds 
41.cubes123.adj, verified, 0 solutions, 40.3828  seconds 
41.cubes1230.adj, verified, 0 solutions, 875.307  seconds 
41.cubes1231.adj, verified, 0 solutions, 638.155  seconds 
41.cubes1232.adj, verified, 0 solutions, 474.346  seconds 
41.cubes1233.adj, verified, 0 solutions, 597.713  seconds 
41.cubes1234.adj, verified, 0 solutions, 3.10976  seconds 
41.cubes1235.adj, verified, 0 solutions, 452.674  seconds 
41.cubes1236.adj, verified, 0 solutions, 1618.28  seconds 
41.cubes1237.adj, verified, 0 solutions, 123.549  seconds 
41.cubes1238.adj, verified, 0 solutions, 366.04  seconds 
41.cubes1239.adj, verified, 0 solutions, 506.391  seconds 
41.cubes124.adj, verified, 0 solutions, 43.3873  seconds 
41.cubes1240.adj, verified, 0 solutions, 29.2153  seconds 
41.cubes1241.adj, verified, 0 solutions, 364.676  seconds 
41.cubes1242.adj, verified, 0 solutions, 924.2  seconds 
41.cubes1243.adj, verified, 0 solutions, 431.536  seconds 
41.cubes1244.adj, verified, 0 solutions, 501.613  seconds 
41.cubes1245.adj, verified, 0 solutions, 469.089  seconds 
41.cubes1246.adj, verified, 0 solutions, 881.925  seconds 
41.cubes1247.adj, verified, 0 solutions, 1173.88  seconds 
41.cubes1248.adj, verified, 0 solutions, 394.758  seconds 
41.cubes1249.adj, verified, 0 solutions, 1049.73  seconds 
41.cubes125.adj, verified, 0 solutions, 31.3909  seconds 
41.cubes1250.adj, verified, 0 solutions, 3.0542  seconds 
41.cubes1251.adj, verified, 0 solutions, 367.433  seconds 
41.cubes1252.adj, verified, 0 solutions, 829.997  seconds 
41.cubes1253.adj, verified, 0 solutions, 509.439  seconds 
41.cubes1254.adj, verified, 0 solutions, 553.841  seconds 
41.cubes1255.adj, verified, 0 solutions, 6.14614  seconds 
41.cubes1256.adj, verified, 0 solutions, 1158.36  seconds 
41.cubes1257.adj, verified, 0 solutions, 9.49138  seconds 
41.cubes1258.adj, verified, 0 solutions, 421.5  seconds 
41.cubes1259.adj, verified, 0 solutions, 379.696  seconds 
41.cubes126.adj, verified, 0 solutions, 18.8854  seconds 
41.cubes1260.adj, verified, 0 solutions, 670.435  seconds 
41.cubes1261.adj, verified, 0 solutions, 522.729  seconds 
41.cubes1262.adj, verified, 0 solutions, 1200.98  seconds 
41.cubes1263.adj, verified, 0 solutions, 5.93173  seconds 
41.cubes1264.adj, verified, 0 solutions, 760.26  seconds 
41.cubes1265.adj, verified, 0 solutions, 1757.77  seconds 
41.cubes1266.adj, verified, 0 solutions, 2268.12  seconds 
41.cubes1267.adj, verified, 0 solutions, 226.265  seconds 
41.cubes1268.adj, verified, 0 solutions, 1017.61  seconds 
41.cubes1269.adj, verified, 0 solutions, 648.675  seconds 
41.cubes127.adj, verified, 0 solutions, 9.57327  seconds 
41.cubes1270.adj, verified, 0 solutions, 831.26  seconds 
41.cubes1271.adj, verified, 0 solutions, 140.049  seconds 
41.cubes1272.adj, verified, 1 solutions, 3608.14  seconds 
41.cubes1273.adj, verified, 0 solutions, 14.5952  seconds 
41.cubes1274.adj, verified, 0 solutions, 186.395  seconds 
41.cubes1275.adj, verified, 0 solutions, 9.45048  seconds 
41.cubes1276.adj, verified, 0 solutions, 102.717  seconds 
41.cubes1277.adj, verified, 0 solutions, 24.8353  seconds 
41.cubes1278.adj, verified, 0 solutions, 49.322  seconds 
41.cubes1279.adj, verified, 0 solutions, 201.884  seconds 
